Ticker,Asset Class,Stock Sector,Bond Type,Geography
AGG,bonds,,Aggregate Bonds,Global/Other
IEF,bonds,,Treasury Bonds,Global/Other
LQD,bonds,,Corporate Bonds,Global/Other
SHY,bonds,,Treasury Bonds,Global/Other
TIP,bonds,,Inflation-Protected Bonds,Global/Other
TLT,bonds,,Treasury Bonds,Global/Other
GLD,commodities,,,Global/Other
IGE,commodities,,,Global/Other
DGT,stocks,Comprehensive/Other,,Global/Other
DIA,stocks,Comprehensive/Other,,North America
DVY,stocks,Comprehensive/Other,,North America
EEM,stocks,Comprehensive/Other,,Asia
EFA,stocks,Comprehensive/Other,,Asia
EPP,stocks,Comprehensive/Other,,Asia
EWA,stocks,Comprehensive/Other,,Asia
EWC,stocks,Comprehensive/Other,,North America
EWD,stocks,Comprehensive/Other,,Europe
EWG,stocks,Comprehensive/Other,,Europe
EWH,stocks,Comprehensive/Other,,Asia
EWI,stocks,Comprehensive/Other,,Europe
EWJ,stocks,Comprehensive/Other,,Asia
EWL,stocks,Comprehensive/Other,,Europe
EWM,stocks,Comprehensive/Other,,Asia
EWN,stocks,Comprehensive/Other,,Europe
EWP,stocks,Comprehensive/Other,,Europe
EWQ,stocks,Comprehensive/Other,,Europe
EWS,stocks,Comprehensive/Other,,Asia
EWT,stocks,Comprehensive/Other,,Asia
EWU,stocks,Comprehensive/Other,,Europe
EWW,stocks,Comprehensive/Other,,Unclassified
EWY,stocks,Comprehensive/Other,,Asia
EWZ,stocks,Comprehensive/Other,,South America
EZA,stocks,Comprehensive/Other,,Africa
EZU,stocks,Comprehensive/Other,,Europe
FEZ,stocks,Comprehensive/Other,,Europe
FXI,stocks,Comprehensive/Other,,Asia
IBB,stocks,Healthcare,,Global/Other
ICF,stocks,Real Estate,,Global/Other
IDU,stocks,Industrials,,Global/Other
IEV,stocks,Comprehensive/Other,,Europe
IGM,stocks,Technology,,Global/Other
IGPT,stocks,Comprehensive/Other,,Global/Other
IGV,stocks,Technology,,Global/Other
IJH,stocks,Comprehensive/Other,,Unclassified
IJJ,stocks,Comprehensive/Other,,Unclassified
IJK,stocks,Comprehensive/Other,,Unclassified
IJR,stocks,Comprehensive/Other,,North America
IJS,stocks,Comprehensive/Other,,North America
